id,max_diff_first,mean_diff_first,mean_diff_prev,severity_bucket,onset_bucket,motion_soft_target
TRAIN_0001,5.306640625,4.9858293533325195,0.07402767986059189,2,2,0.8052988680899144
TRAIN_0002,15.765869140625,12.492302894592285,0.21966613829135895,3,0,0.95
TRAIN_0003,3.74072265625,3.4133129119873047,0.0628168135881424,1,2,0.7669158613085747
TRAIN_0004,3.904052734375,3.80299973487854,0.05429556965827942,1,0,0.7641359270811081
TRAIN_0005,1.047119140625,1.022533655166626,0.008179118856787682,0,3,0.028714735480646292
TRAIN_0006,1.922607421875,1.75663423538208,0.02068989723920822,0,3,0.7019737727940083
TRAIN_0007,16.279541015625,15.255167007446289,0.24508942663669586,3,0,0.95
TRAIN_0008,11.0908203125,10.231317520141602,0.16946053504943848,3,1,0.95
TRAIN_0009,3.72314453125,3.410618305206299,0.06013289839029312,1,2,0.7646943472325802
TRAIN_0010,1.792724609375,1.7604808807373047,0.011713034473359585,0,3,0.034385751338054736
TRAIN_0011,6.675048828125,5.156357765197754,0.16192974150180817,2,2,0.8935142711997033
TRAIN_0012,2.267578125,2.227109670639038,0.017171496525406837,1,1,0.03874594033509493
TRAIN_0013,5.7099609375,5.429911136627197,0.0784042477607727,2,2,0.816227211713791
TRAIN_0014,5.201416015625,4.785490036010742,0.12795662879943848,2,2,0.8409972524642945
TRAIN_0015,4.780517578125,4.380435466766357,0.08419013768434525,1,2,0.8021531891524791
TRAIN_0016,3.7236328125,3.294685125350952,0.07552273571491241,1,1,0.7754767548441888
TRAIN_0017,1.626953125,1.5823513269424438,0.011940844357013702,0,3,0.033361392329136534
TRAIN_0018,21.370849609375,17.846153259277344,0.3104219436645508,3,1,0.95
TRAIN_0019,5.5771484375,5.307427883148193,0.08808577060699463,2,2,0.8204144339561463
TRAIN_0020,1.736328125,1.7092310190200806,0.012292766012251377,0,3,0.03415444488202532
TRAIN_0021,8.37158203125,8.13531494140625,0.0890827476978302,2,0,0.8756037729978562
TRAIN_0022,1.13525390625,1.1063154935836792,0.007982336916029453,0,3,0.029241695671031874
TRAIN_0023,1.84814453125,1.793008804321289,0.011757942847907543,0,3,0.0347564594509701
TRAIN_0024,2.185302734375,2.1411876678466797,0.012951700948178768,1,1,0.03722653132801255
TRAIN_0025,1.1962890625,1.1698949337005615,0.008057457394897938,0,3,0.02965595229839285
TRAIN_0026,1.78271484375,1.7524348497390747,0.012558952905237675,0,3,0.03451806882893046
TRAIN_0027,2.5263671875,2.4812607765197754,0.01880780979990959,1,0,0.04080987567206224
TRAIN_0028,4.89794921875,4.503335475921631,0.10682254284620285,1,1,0.820285789757967
TRAIN_0029,12.48779296875,11.221614837646484,0.15484558045864105,3,2,0.95
TRAIN_0030,4.15087890625,3.674286127090454,0.07147032767534256,1,2,0.7809713680446149
TRAIN_0031,1.75927734375,1.7298343181610107,0.012646321207284927,0,3,0.03438611101607482
TRAIN_0032,2.696044921875,2.628145217895508,0.020157523453235626,1,0,0.04222771413127581
TRAIN_0033,11.183837890625,10.617600440979004,0.14531674981117249,3,0,0.95
TRAIN_0034,4.0888671875,3.849581718444824,0.04216855764389038,1,0,0.7592509005069733
TRAIN_0035,1.150146484375,1.1206356287002563,0.00819136667996645,0,3,0.029387271040429673
TRAIN_0036,1.416748046875,1.3576692342758179,0.014856651425361633,0,3,0.03267541430393855
TRAIN_0037,16.101806640625,14.293431282043457,0.20180876553058624,3,0,0.95
TRAIN_0038,4.9501953125,4.675443172454834,0.06753794848918915,1,0,0.7938053725361824
TRAIN_0039,3.444580078125,3.0268619060516357,0.05174556374549866,1,2,0.7533912061452865
TRAIN_0040,1.27685546875,1.2463183403015137,0.011590555310249329,0,3,0.031004023452599845
