id,label_int,teacher_logit,teacher_prob,teacher_soft_target
TRAIN_0001,1,16.96875,0.9999999572864673,0.9965165758069192
TRAIN_0002,1,8.96875,0.9998726889583779,0.952101311894253
TRAIN_0003,1,11.390625,0.9999886991916666,0.9780517462851323
TRAIN_0004,1,12.8359375,0.9999973366881769,0.986328092003804
TRAIN_0005,0,-9.375,8.481104172358075e-05,0.042087727915618836
TRAIN_0006,1,5.9921875,0.9975080321463846,0.8805233859280351
TRAIN_0007,1,21.359375,0.9999999994706519,0.9991917185855878
TRAIN_0008,1,23.578125,0.999999999942436,0.9996140339094192
TRAIN_0009,1,11.3515625,0.9999882490239302,0.9777704874443873
TRAIN_0010,0,-14.265625,6.375547778570538e-07,0.008533307377765689
TRAIN_0011,1,14.5,0.9999994956525918,0.9921029164925812
TRAIN_0012,0,-10.796875,2.0462932829931794e-05,0.026623975206399104
TRAIN_0013,1,18.875,0.9999999936511998,0.9981517510944679
TRAIN_0014,1,16.5,0.999999931743971,0.995929862284104
TRAIN_0015,1,11.4765625,0.9999896297856969,0.9786583247847593
TRAIN_0016,1,17.3125,0.9999999697115696,0.9968925276854836
TRAIN_0017,0,-10.4609375,2.863255694172923e-05,0.029684992126735744
TRAIN_0018,1,16.25,0.9999999123575255,0.9955777150473046
TRAIN_0019,1,18.75,0.9999999928058669,0.9980732653366725
TRAIN_0020,0,-11.1796875,1.3954598608060389e-05,0.02350945240753301
TRAIN_0021,1,15.359375,0.9999997864458089,0.9940582474182731
TRAIN_0022,0,-8.59375,0.0001852257432653108,0.05393236333682939
TRAIN_0023,0,-12.03125,5.955139348629957e-06,0.017803144263019204
TRAIN_0024,0,-9.5546875,7.086326620752597e-05,0.039738092414425635
TRAIN_0025,0,-11.1640625,1.4174348445529376e-05,0.023629316052975496
TRAIN_0026,0,-6.0078125,0.0024534282596974846,0.1189297722526068
TRAIN_0027,0,-8.7421875,0.00015967865134838003,0.05146276543260744
TRAIN_0028,1,22.4375,0.9999999998198985,0.9994355909114548
TRAIN_0029,1,12.9921875,0.9999977219477992,0.9870129335139586
TRAIN_0030,1,12.2578125,0.999995252143229,0.9834704434423458
TRAIN_0031,0,-12.1640625,5.2144981064769044e-06,0.01704531725343583
TRAIN_0032,0,-8.1171875,0.0002982776415551503,0.06263613629028675
TRAIN_0033,1,11.8125,0.9999925887201281,0.9808759632491112
TRAIN_0034,1,15.71875,0.999999850915138,0.9947255021079747
TRAIN_0035,0,-10.625,2.43002407432796e-05,0.028149656672963045
TRAIN_0036,0,-14.75,3.927862002670442e-07,0.007270258129693483
TRAIN_0037,1,19.921875,0.9999999977713616,0.9986954933533843
TRAIN_0038,1,21.796875,0.9999999996582272,0.9993013243335144
TRAIN_0039,1,11.859375,0.9999929281049428,0.9811668701095654
TRAIN_0040,0,-12.75,2.902311985211097e-06,0.014063627043245475
TRAIN_0041,0,-10.4921875,2.77516502232539e-05,0.029386418060833565
TRAIN_0042,0,-9.765625,5.7387595214376774e-05,0.037140183557833696
TRAIN_0043,0,-10.296875,3.373722476473661e-05,0.031301370574347044
TRAIN_0044,1,10.6640625,0.9999766306651053,0.9722043774187549
TRAIN_0045,0,-5.56640625,0.0038096301984728983,0.13523208079351787
TRAIN_0046,0,-8.3984375,0.00022516824185623812,0.05735232724025041
TRAIN_0047,1,22.0625,0.9999999997379536,0.9993604887738127
TRAIN_0048,0,-9.453125,7.843789122138342e-05,0.04105025324756249
TRAIN_0049,0,-8.8828125,0.0001387341225792179,0.04922211319719861
TRAIN_0050,1,22.234375,0.999999999779335,0.9993960761472732
TRAIN_0051,1,11.609375,0.9999909195252414,0.9795636425374403
TRAIN_0052,1,13.6796875,0.99999885452212,0.9896451950667947
TRAIN_0053,0,-8.984375,0.000125337514256461,0.047661723683828344
TRAIN_0054,1,24.1875,0.999999999968703,0.9996849613059188
TRAIN_0055,0,-9.8125,5.4759769804494653e-05,0.036585444470685374
TRAIN_0056,0,-9.046875,0.0001177445922838707,0.04672495862609241
TRAIN_0057,1,11.1953125,0.9999862617444183,0.9766098177756628
TRAIN_0058,0,-9.2421875,9.685608308164991e-05,0.043909193939212394
TRAIN_0059,0,-9.5,7.484622751061123e-05,0.04043956481800324
TRAIN_0060,1,20.8125,0.9999999990853685,0.9990302480322174
TRAIN_0061,0,-9.7734375,5.694102683483241e-05,0.037047168669075196
TRAIN_0062,0,-15.1875,2.5360186670104374e-07,0.006289902136892483
TRAIN_0063,0,-16.015625,1.1079046627436292e-07,0.004779912493354888
TRAIN_0064,0,-12.046875,5.862814011886352e-06,0.017712298703411445
TRAIN_0065,1,16.859375,0.9999999523496113,0.9963876996990267
TRAIN_0066,1,13.1171875,0.999997989625451,0.9875363368912785
TRAIN_0067,1,11.4296875,0.9999891321141301,0.9783295253696188
TRAIN_0068,1,21.203125,0.9999999993811295,0.9991485418045275
TRAIN_0069,0,-5.76171875,0.0031358358772830336,0.1277976922907158
TRAIN_0070,1,13.25,0.9999982396567868,0.9880696387888298
TRAIN_0071,0,-5.359375,0.004681822524333737,0.14350749129563833
TRAIN_0072,1,11.5625,0.9999904837483059,0.9792484951052498
TRAIN_0073,1,15.0703125,0.999999714867766,0.993461175022765
TRAIN_0074,1,10.984375,0.9999830355734896,0.9749486804975505
TRAIN_0075,0,-9.53125,7.254361823018916e-05,0.04003728372695778
TRAIN_0076,0,-5.28125,0.005060332031966209,0.14673816292440167
TRAIN_0077,1,16.921875,0.9999999552366021,0.9964619139429115
TRAIN_0078,0,-12.7109375,3.017926602189289e-06,0.014245318904887998
TRAIN_0079,1,15.7265625,0.9999998520753254,0.9947391477427643
TRAIN_0080,0,-5.05859375,0.006314364670896371,0.15627650572027976
TRAIN_0081,1,11.4453125,0.9999893006032806,0.9784396718853606
TRAIN_0082,0,-9.609375,6.709224499600876e-05,0.03904829272622639
TRAIN_0083,0,-9.3828125,8.415109250079663e-05,0.04198286252715795
TRAIN_0084,0,-5.80859375,0.002992665245354638,0.12606615004830576
TRAIN_0085,0,-5.6328125,0.0035657366623610266,0.13266430634499832
TRAIN_0086,0,-8.703125,0.00016603846953733615,0.052102093792862875
TRAIN_0087,1,16.3125,0.9999999176675142,0.9956684979794361
TRAIN_0088,1,13.109375,0.9999979738579198,0.9875042432452772
TRAIN_0089,1,11.5859375,0.9999907041899896,0.9794066589893494
TRAIN_0090,0,-5.5546875,0.0038543638269116958,0.13568954596860924
TRAIN_0091,0,-9.96875,4.6838884249524555e-05,0.03479332582908421
TRAIN_0092,0,-11.1875,1.3846004563753395e-05,0.023449743307856638
TRAIN_0093,1,16.0625,0.9999998942829981,0.9952938444282617
TRAIN_0094,0,-12.1015625,5.550802473612861e-06,0.017397909931824513
TRAIN_0095,1,14.5078125,0.9999994995774526,0.9921232932834126
TRAIN_0096,0,-9.4453125,7.905303859378796e-05,0.04115288921744486
TRAIN_0097,1,14.296875,0.9999993820607084,0.991554373058874
TRAIN_0098,0,-8.0234375,0.00032758429785968653,0.06449618393244737
TRAIN_0099,0,-8.0859375,0.0003077430764601415,0.06325052199347325
TRAIN_0100,1,13.6875,0.9999988634362894,0.9896718474806949
TRAIN_0101,1,20.4375,0.9999999986692192,0.9989012689270753
TRAIN_0102,0,-8.7421875,0.00015967865134838003,0.05146276543260744
TRAIN_0103,1,14.46875,0.9999994796428949,0.9920208850730752
TRAIN_0104,0,-11.4609375,1.0533519695606354e-05,0.021450729175489416
TRAIN_0105,1,10.5078125,0.9999726785874792,0.9707617749107776
TRAIN_0106,1,11.625,0.9999910603036951,0.9796676466573412
TRAIN_0107,1,14.015625,0.9999991813636089,0.9907319866190857
TRAIN_0108,1,11.5703125,0.9999905578036649,0.9793013480707845
TRAIN_0109,0,-9.234375,9.761566060239503e-05,0.04401864986294638
TRAIN_0110,1,12.3515625,0.9999956770253791,0.9839708526340988
TRAIN_0111,1,12.671875,0.9999968618532465,0.9855706762598673
TRAIN_0112,1,12.7578125,0.9999971202739207,0.985972436261806
TRAIN_0113,1,15.6796875,0.999999844976273,0.9946567440438505
TRAIN_0114,1,18.15625,0.9999999869731082,0.9976525684931704
TRAIN_0115,0,-10.0703125,4.231559699903632e-05,0.033674142910779546
TRAIN_0116,0,-9.4609375,7.782753021574925e-05,0.040947862321921255
TRAIN_0117,0,-9.390625,8.349627818261146e-05,0.0418782469975414
TRAIN_0118,1,14.7421875,0.9999996041331407,0.992710922416408
TRAIN_0119,1,17.625,0.9999999778405106,0.9971990730328789
TRAIN_0120,0,-5.73828125,0.0032099613758647793,0.1286710511949583
TRAIN_0121,1,21.09375,0.9999999993096,0.9991169541522155
TRAIN_0122,0,-12.6953125,3.0654518851696577e-06,0.014318641690598759
TRAIN_0123,1,19.0625,0.9999999947366598,0.9982635363860679
TRAIN_0124,0,-5.7578125,0.0031480705546296176,0.1279428999378528
TRAIN_0125,0,-10.1796875,3.7931622297824375e-05,0.03250774136426678
TRAIN_0126,1,18.375,0.9999999895325983,0.9978172835546547
TRAIN_0127,1,30.234375,0.9999999999999261,0.9999
TRAIN_0128,0,-11.0234375,1.6314540139585704e-05,0.02473526095610085
TRAIN_0129,1,12.046875,0.9999941371859881,0.9822877012965885
TRAIN_0130,1,24.296875,0.9999999999719456,0.9996962368106938
TRAIN_0131,1,17.703125,0.9999999795058225,0.9972708757853038
TRAIN_0132,1,18.21875,0.9999999877623676,0.997700856134242
TRAIN_0133,0,-9.390625,8.349627818261146e-05,0.0418782469975414
TRAIN_0134,1,23.6875,0.9999999999483999,0.9996278470214557
TRAIN_0135,1,12.0703125,0.9999942729971506,0.982423116732664
